,,,,f=,0.5,% of cost,,,,,,,,,,,
,,,,Shipping=s=, $0.50 ,,,,,,,,,,,,
,,,,The market signal demands are as follows,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Pre Season initial order Q0 cost c0=,$3.00 ,,,,,,,,,,
,,,,,,In season Expedited top up order Q1(S) cost c1=,$3.60 ,,,,,,,,,,
,,,,,,Per order cost=,$20 ,(assuming this for both pre season and In season),,,,,,,,,
,,,,,,Sale price=,$5 ,(assumption),,,,,,,,,
(a),,,Now we order Q0 and then Q1. Let expected Sale be E(S),,,,,,,,,,,,,,
,,,,,E[Revenue],Cost Var,E[Salvage Val],E[Shipping cost],,Per order cost,,E[Revenue],,,,,
,,,,,a,b,c,d,,e,,a+c-b-d-e,,,,,
,,Dual order,If E(S)<=Q0,,E(S)*5,[Q0*3+Q1*3.6],[Q0-E(S)]*3*.5+Q1*3.6*.5,[Q0+Q1-E(S)]*0.5,,20*2,,E(S)*5+{[Q0-E(S)]*3*.5+Q1*3.6*.5}-{[Q0*3+Q1*3.6]}-{[Q0+Q1-E(S)]*0.5}-20*2,,,,,
,,Dual order,If Q0 <=E(S)<=Q1+Q0,,E(S)*5,[Q0*3+Q1*3.6],[Q0+Q1-E(S)]*3.6*.5,[Q0+Q1-E(S)]*0.5,,20*2,,E(S)*5+{[Q0+Q1-E(S)]*3.6*.5}-{[Q0*3+Q1*3.6]}-{[Q0+Q1-E(S)]*0.5}-20*2,,,,,
,,Single order,If E(S)<=Q0,,E(S)*5,Q0*3,[Q0-E(S)]*3*.5,[Q0-E(S)]*0.5,,20,,E(S)*5+{[Q0-E(S)]*3*.5}-Q0*3-{[Q0-E(S)]*0.5}-20,,,,,
,,Single order,If E(S)>Q0,,Q0*5,Q0*3,0,0,,20,,Q0*(5-3)-20,,,,,
,,,,,,,,,,,,,,,,,
(b),,,"There are two ways to manager this, eigher have just a single pre-season order or have a pre season and then in season order",,,,,,,,,,,,,,
,,,Lets make the payoff table. The states of nature are D⏐S=High  and D⏐S=Low,,,,,,,,,,,,,,
,,,Decision taken are Ordering optimal quantity basis S=High or S=Low at the beginning with no top up or order S=Low optimal with a top up to match S=High,,,,,,,,,,,,,,
,,,At pre season cost of $3.00,,,,,,,,,,,,,,
,,,For D⏐S=High  single order,,,,,,,,,,,,,,
,,,,,co= 3-0.5*3+.5=,2,,,,,,,,,,,
,,,,,cu=5-3=,2,,,,,,,,,,,
,,,,,P(D≤Q0)=cu/(cu+co)=,0.5,,,,,,,,,,,
,,,,,,330,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,for D⏐S=Low single order,,,,,,,,,,,,,,
,,,,,co= 3-0.5*3+.5=,2,,,,,,,,,,,
,,,,,cu=5-3=,2,,,,,,,,,,,
,,,,,P(D≤Q0)=cu/(cu+co)=,0.5,,,,,,,,,,,
,,,,,,190,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,"for both pre and in season ordering, the pre order could be placed till Q0/low or Q0/high and then basis high signal, place the next order to add Q1",,,,,,,,,,,,,,
,,,"This looks like a quantity discount problem except the inverse since at higher quantity, the cost is going up. So we can use a similar approach",,,,,,,,,,,,,,
,,,Lets find Q2/high =Q1+Q0,,,(Q0 can be Q0/high or Q0/low),,,,,,,,,,,
,,,,,co= 3.6-0.5*3.6+.5=,2.3,,,,,,,,,,,
,,,,,cu=5-3.6=,1.4,,,,,,,,,,,
,,,,,P(D≤Q0)=cu/(cu+co)=,0.62,,,,,,,,,,,
,,,,,,352,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Lets find Q2/low =Q1+Q0,,,,,,,,,,,,,,
,,,,,co= 3.6-0.5*3.6+.5=,2.3,,,,,,,,,,,
,,,,,cu=5-3.6=,1.4,,,,,,,,,,,
,,,,,P(D≤Q0)=cu/(cu+co)=,0.62,,,,,,,,,,,
,,,,,,207,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,(Q0 can be  Q0/low only since Q0/high is higher qty than Q2/low),,,,,,,,,,,,,,,
,,,So pay off table,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
(c),,Expected Sales and left over,,,States of Nature,,,,,,,,,,,,
,,,,D⏐High,,,,,,,D⏐low,,,,,,
